,Unnamed: 0,name,coordinates,category,location,rating,review_count,state
58125,58125,Subway,"{'latitude': 38.822608, 'longitude': -91.136752}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '1004 North Hwy', 'address2': '', 'address3': '', 'city': 'Warrenton', 'zip_code': '63383', 'country': 'US', 'state': 'MO', 'display_address': ['1004 North Hwy', 'Warrenton, MO 63383']}",3.5,3,MO
58133,58133,China King,"{'latitude': 37.5936720058951, 'longitude': -93.401002565569}","[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '2270 S Springfield Ave', 'address2': 'Ste A', 'address3': '', 'city': 'Bolivar', 'zip_code': '65613', 'country': 'US', 'state': 'MO', 'display_address': ['2270 S Springfield Ave', 'Ste A', 'Bolivar, MO 65613']}",3.5,15,MO
58138,58138,Domino's Pizza,"{'latitude': 37.6083006709814, 'longitude': -93.4064255654812}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '610 E Buffalo St', 'address2': '', 'address3': '', 'city': 'Bolivar', 'zip_code': '65613', 'country': 'US', 'state': 'MO', 'display_address': ['610 E Buffalo St', 'Bolivar, MO 65613']}",4.5,3,MO
58141,58141,Sonic Drive-In,"{'latitude': 37.6108229, 'longitude': -93.4086543}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '404 S Springfield Ave', 'address2': '', 'address3': '', 'city': 'Bolivar', 'zip_code': '65613', 'country': 'US', 'state': 'MO', 'display_address': ['404 S Springfield Ave', 'Bolivar, MO 65613']}",3.5,5,MO
58142,58142,Taco Bell,"{'latitude': 37.59599, 'longitude': -93.40266}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '1875 S Springfield Ave', 'address2': '', 'address3': '', 'city': 'Bolivar', 'zip_code': '65613', 'country': 'US', 'state': 'MO', 'display_address': ['1875 S Springfield Ave', 'Bolivar, MO 65613']}",3.0,4,MO
58146,58146,Pizza Hut,"{'latitude': 37.595781026208, 'longitude': -93.4021765692978}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '1988 S Springfield Ave', 'address2': '', 'address3': '', 'city': 'Bolivar', 'zip_code': '65613', 'country': 'US', 'state': 'MO', 'display_address': ['1988 S Springfield Ave', 'Bolivar, MO 65613']}",1.5,8,MO
58188,58188,Dewey's Pizza,"{'latitude': 38.7660196695492, 'longitude': -90.4948381416967}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","{'address1': '1520 S 5th St', 'address2': 'Ste 102', 'address3': '', 'city': 'Saint Charles', 'zip_code': '63303', 'country': 'US', 'state': 'MO', 'display_address': ['1520 S 5th St', 'Ste 102', 'Saint Charles, MO 63303']}",4.5,209,MO
58209,58209,Dewey's Pizza,"{'latitude': 38.81121, 'longitude': -89.95485}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","{'address1': '112 E Vandalia St', 'address2': '', 'address3': '', 'city': 'Edwardsville', 'zip_code': '62025', 'country': 'US', 'state': 'IL', 'display_address': ['112 E Vandalia St', 'Edwardsville, IL 62025']}",4.5,125,IL
58247,58247,Waffle House,"{'latitude': 30.2831086, 'longitude': -81.9840233}","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'address1': '1066 US Hwy 301 S', 'address2': '', 'address3': '', 'city': 'Baldwin', 'zip_code': '32234', 'country': 'US', 'state': 'FL', 'display_address': ['1066 US Hwy 301 S', 'Baldwin, FL 32234']}",4.5,22,FL
58256,58256,Burger King,"{'latitude': 30.3160434, 'longitude': -81.9673058}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '1093 US Hwy 301 N', 'address2': '', 'address3': '', 'city': 'Baldwin', 'zip_code': '32234', 'country': 'US', 'state': 'FL', 'display_address': ['1093 US Hwy 301 N', 'Baldwin, FL 32234']}",2.0,19,FL
58257,58257,McDonald's,"{'latitude': 30.285993, 'longitude': -81.982174}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '1077 S US 301 Hwy', 'address2': '', 'address3': '', 'city': 'Jacksonville', 'zip_code': '32234', 'country': 'US', 'state': 'FL', 'display_address': ['1077 S US 301 Hwy', 'Jacksonville, FL 32234']}",1.5,36,FL
58258,58258,Subway,"{'latitude': 30.2839561, 'longitude': -81.9838833977624}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '1050 301st S', 'address2': '', 'address3': '', 'city': 'Baldwin', 'zip_code': '32234', 'country': 'US', 'state': 'FL', 'display_address': ['1050 301st S', 'Baldwin, FL 32234']}",2.5,8,FL
